id,main_speaker,main_speaker_description
2032,Jose Miguel Sokoloff,"La Ciudad de las Ideas (stylized as CDI) is an annual conference held in Puebla, Mexico, produced by Mexican writer and television producer Andrés Roemer."
2033,Joseph DeSimone,"Joseph M. DeSimone (born May 16, 1964) is an American chemist, inventor, and entrepreneur who has co-founded companies based on his research, including the American 3D printing technology company, Carbon, of which he served as CEO from 2014 until November 2019.Currently, DeSimone is the Sanjiv Sam Gambhir Professor of Translational Medicine in the Department of Radiology at Stanford University, where he is also Professor of Chemical Engineering."
2034,Joseph Goffman,"Impression management is a conscious or subconscious process in which people attempt to influence the perceptions of other people about a person, object or event by regulating and controlling information in social interaction."
2035,Joseph Gordon-Levitt,"Joseph Leonard Gordon-Levitt (; born February 17, 1981) is an American actor, filmmaker, singer, and entrepreneur."
2036,Joseph Isaac,"Joseph Isaac (born 1969) is a Dominican politician from Dominica Labour Party, and current Speaker of the House of Assembly of Dominica.Isaac is a former member of House of Assembly of Dominica from UWP, but crossed floor for DLP. He was not elected in the 2019 elections."
2037,Joseph Kim,"Joseph Kim Mitchell (born July 10, 1952) is a Canadian musician."
2038,Joseph Lekuton,Joseph Lemasolai Lekuton (born 1968 or 1969) is a Kenyan politician.
2039,Joseph McGill,"McGill University is a public research university located in Montreal, Quebec, Canada."
2040,Joseph Nye,
2041,Joseph Pine,Robert Pine is an American actor who is best known as Sgt.
2042,Joseph Ravenell,Violator is the seventh studio album by English electronic music band Depeche Mode.
2043,Joseph Redmon,"Jessie Redmon Fauset (April 27, 1882 – April 30, 1961) was an African-American editor, poet, essayist, novelist, and educator."
2044,Joseph Shin,This is a characters list of Japanese manga and anime series Crayon Shin-chan created by Yoshito Usui.
2045,Josette Sheeran,Josette Sheeran (born 12 June 1954) is an American non-profit executive and diplomat who served in the United States Department of State.
2046,Josh Luber,"Joshua Eliot ""Josh"" Luber (born February 18, 1978) is an American entrepreneur and sneaker collector who co-founded StockX, the stock market for things."
2047,Josh Samani,This is a list of Samoans in alphabetical order by surname.
2048,Joshua Foer,"Joshua Foer (born September 23, 1982) is a freelance journalist and author living in Brookline, Massachusetts, with a primary focus on science."
2049,Joshua Harvey,
2050,Joshua Klein,"Joshua Klein (born 1974 in Seattle, Washington) is a technologist who uses systems thinking to create alternative methods of succeeding in divergent fields."
2051,Joshua Prager,
2052,Joshua Prince-Ramus,"Joshua Ramus (born August 11, 1969) is founding principal of REX, an architecture and design firm based in New York City, whose name signifies a re-appraisal (RE) of architecture (X).Current projects include The Ronald O. Perelman Performing Arts Center at the World Trade Center in New York; the Mercedes-Benz Future Lab and Museum in Stuttgart; the new performing arts center for Brown University in Providence; 2050 M Street, a premium office building in Washington, DC that will host CBS's Washington Bureau; PERTH+, a 60-story mixed-use tower in Western Australia; and the Necklace Residence on Long Island."
2053,Joshua Silver,"Professor Joshua D. Silver is a British physicist whose discoveries have included a new way to change the curvature of lenses, with a significant application for the low-cost manufacture of corrective lenses and adjustable spectacles, especially in low-income countries."
2054,Joshua Smith,
2055,Joshua W. Pate,"Joshua Warren Pate (born January 15, 1970) is an American screenwriter, director and producer."
2056,Joshua Walters,
2057,José Américano N L F de Freitas,"António de Oliveira Salazar  (, US also , Portuguese: [ɐ̃ˈtɔni.u ð(ɨ) ɔliˈvɐjɾɐ sɐlɐˈzaɾ]; 28 April 1889 – 27 July 1970) was a Portuguese statesman and economist who served as the prime minister of Portugal from 1932 to 1968."
2058,José Andrés,"José Ramón Andrés Puerta (born 13 July 1969) is a Spanish-American chef, restaurateur, and founder of World Central Kitchen (WCK), a non-profit devoted to providing meals in the wake of natural disasters."
2059,José Antonio Abreu,"José Antonio Abreu Anselmi (May 7, 1939 – March 24, 2018) was a Venezuelan orchestra conductor, pianist, economist, educator, activist, and politician best known for his association with El Sistema."
2060,José Bowen,"José Antonio Bowen (born March 11, 1962) is an American author and academic."
2061,Joy Buolamwini,Joy Adowaa Buolamwini is a Ghanaian-American computer scientist and digital activist based at the MIT Media Lab.
2062,Joy Lin,The Joy Luck Club (simplified Chinese: 喜福会; traditional Chinese: 喜福會; pinyin: Xǐ Fú Huì) is a 1993 American drama film about the relationships between Chinese-American women and their Chinese immigrant mothers.
2063,Joy Sun,"William Nelson Joy (born November 8, 1954) is an American computer engineer and venture capitalist."
2064,Joy Wolfram,"Joy Wolfram (born 1989) is a Finnish-born nanoscientist based in the US. She is known for her pioneering work in nanomedicine concerning the treatment of cancer, cardiovascular diseases and other life-threatening illnesses."
2065,Juan Enriquez,"Juan Enríquez Cabot (born 1959) is a Mexican-American academic, businessman, author, and speaker."
2066,Juan López-Aranguren,"María Begoña Aranguren Gárate (born 1949) is a Spanish journalist and writer, the niece of the philosopher José Luis López Aranguren."
2067,Juan Pablo Sáez Gil,Esperanza Aguirre y Gil de Biedma (Spanish pronunciation: [espeˈɾanθa aˈɣire]; born 3 January 1952) is a Spanish politician.
2068,Judd A. Schorr,"Renen Schorr (Hebrew: רנן שור; born Jerusalem, Israel, 1952) is a film director, screenwriter, film producer and Israeli film activist."
2069,Jude Kelly,
2070,Judith Heumann,"Judith Ellen ""Judy"" Heumann (born December 18, 1947) is an American disability rights activist."
2071,Judith Jamison and members of the Alvin Ailey American Dance Theater,The Alvin Ailey American Dance Theater (AAADT) is a modern dance company based in New York City.
2072,Judson Brewer,"Judson Alyn Brewer, M.D., Ph.D., is an American psychiatrist, neuroscientist and New York Times best-selling author."
2073,Judy Brewer,The World Wide Web Consortium (W3C)'s Web Accessibility Initiative (WAI) is an effort to improve the accessibility of the World Wide Web (WWW or Web) for people with disabilities.
2074,Judy Cebra-Thomas,Contemporary architecture is the architecture of the 21st century.
2075,Judy Grisel,"Herrera is a surname of Spanish origin, from the Latin word ferrāria, meaning ""iron mine"" or ""iron works"" and also the feminine of Latin ferrārius (and ultimately from the Proto-Indo-European root ""bhar"" ""to carry""), ""of or pertaining to iron""; or, alternatively, the feminine of Spanish herrero (""ironsmith"", from ferrārius), which also gives the surname Herrero."
2076,Judy MacDonald Johnston,
2077,Julia Bacha,Julia Bacha (born 1980) is a Brazilian documentary filmmaker.
2078,Julia Dhar,"Lost in Space is an American science fiction television series and is a reimagining of the 1965 series of the same name (itself a reimagining of the 1812 novel The Swiss Family Robinson), following the adventures of a family of space colonists whose spaceship veers off course."
2079,Julia Espinosa,Julia Pastrana (August 1834 – 25 March 1860) was a performer and singer during the 19th century who had hypertrichosis.
2080,Julia Galef,
2081,Julia Gillard and Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala (; born 13 June 1954) is a Nigerian-American economist and international development expert who has served since March 2021 as Director-General of the World Trade Organization.
2082,Julia Kloiber,"The Impakt Festival is a yearly manifestation on media art, founded in 1988 in the city of Utrecht, Netherlands."
2083,Julia Shaw,"Julia Shaw (born January 20, 1987) is a German-Canadian psychologist and popular science writer who specialises in false memories."
2084,Julia Sweeney,"Julia Anne Sweeney (born October 10, 1959) is an American actress, comedian and author."
2085,Julia Watson,"Julia Watson (born 13 September 1953) is a British actress known for playing Barbara 'Baz' Wilder in the BBC medical drama Casualty in 1986, 1995–98 and again from 2003 to 2004."
2086,Julian Assange,"Julian Paul Assange (; born 3 July 1971) is an Australian editor, publisher, and activist who founded WikiLeaks in 2006."
2087,Julian Baggini,"Julian Baggini (born 1968) is a British philosopher, journalist and the author of over 20 books about philosophy written for a general audience."
2088,Julian Burschka,"Building-integrated photovoltaics (BIPV) are photovoltaic materials that are used to replace conventional building materials in parts of the building envelope such as the roof, skylights, or facades."
2089,Julian Treasure,"Treasure Island is a 1990 British-American made-for-television film adaptation of Robert Louis Stevenson’s 1883 novel of the same name, written & directed by Fraser Clarke Heston (Charlton Heston's son), and also starring several notable British actors, including Christian Bale, Oliver Reed, Christopher Lee (both of whom had starred alongside Heston in the 1973 Three Musketeers film), Julian Glover and Pete Postlethwaite."
2090,Juliana Delgado Lopera,"Juliana Delgado Lopera (born June 4, 1988) is a queer writer and performer."
2091,Juliana Machado Ferreira,"Juliana Alves de Oliveira (born May 3, 1982) is a Brazilian actress and model, known to participate in the reality show Big Brother Brasil 3 in 2003."
2092,Juliana Rotich,"Juliana Rotich is a Kenyan information technology professional, who has developed web tools for crowdsourcing crisis information and coverage of topics related to the environment."
2093,Juliane Gallina,"The United States Naval Academy (USNA, Annapolis, or simply Navy) is a federal service academy adjacent to Annapolis, Maryland."
2094,Julie Burstein,The Fallout is a 2021 American high school drama film written and directed by Megan Park in her feature directorial debut.
2095,Julie Chang,
2096,Julie Cordua,"Julie Cordua is known for serving as the chief executive officer and executive director of Thorn since 2012, and previously serving as the vice president of marketing at (RED)."
2097,Julie Lythcott-Haims,"A helicopter parent (also called a cosseting parent or simply a cosseter) is a parent who pays extremely close attention to a child's or children's experiences and problems, particularly at educational institutions."
2098,Julie Taymor,"Julie Taymor (born December 15, 1952) is an American director and writer of theater, opera and film."
2099,Juliet Brophy,"Dawn of Humanity is a 2015 American documentary film that was released online on September 10, 2015, and aired nationwide in the United States on September 16, 2015."
2100,Julio Gil,"Julio Gil Pecharromán (born 1955) is a Spanish historian, specialising in the political history of 20th-century Spain."
2101,Julius Maada Bio,"Julius Maada Bio (born May 12, 1964) is a Sierra Leonean politician, and the current president of Sierra Leone since April 4, 2018."
2102,Jun Wang,
2103,Juna Kollmeier,"Juna Kollmeier is an astrophysicist from the US. She is currently employed at the Carnegie Institution for Science and is the director of the fifth phase of the Sloan Digital Sky Survey, which made its first observations in October, 2020."
2104,June Tangney,Dame Dorothy Margaret Tangney DBE (13 March 1907 – 3 June 1985) was an Australian politician.
2105,Juniper Fitzgerald,And That's Why We Drink (ATWWD) is a comedy true crime and paranormal podcast created by Christine Schiefer and Em Schulz.
2106,Juno Mac,Juno is a 2007 American coming-of-age comedy-drama film directed by Jason Reitman and written by Diablo Cody.
2107,Justin Baldoni,
2108,Justin Davidson,"Justin Davidson (born in Rome, Italy, in 1966) is a classical music and architecture critic."
2109,Justin Hall-Tipping,"A tipping point in the climate system is a threshold that, when exceeded, can lead to large changes in the state of the system."
2110,Justin Schmidt,
2111,K. Erica Dodge,"Gyotaku (魚拓, from gyo ""fish"" + taku ""stone impression"") is the traditional Japanese method of printing fish, a practice which dates back to the mid-1800s."
2112,Kade Crockford,SKYNET is a program by the U.S. National Security Agency that performs machine learning analysis on communications data to extract information about possible terror suspects.
2113,Kaeli Swift,"Bryce Dallas Howard (born March 2, 1981) is an American actress and director."
2114,Kai-Fu Lee,"Kai-Fu Lee (traditional Chinese: 李開復; simplified Chinese: 李开复; pinyin: Lǐ Kāifù; born December 3, 1961) is a Taiwanese-born American computer scientist, businessman, and writer."
2115,Kailash Satyarthi,Kailash Satyarthi (born 11 January 1954) is an Indian social reformer who campaigned against child labour in India and advocated the universal right to education.
2116,Kaitlyn Sadtler,"Kaitlyn Noelle Sadtler is an American immunologist and bioengineer and Stadtman Tenure-Track Investigator at the National Institute of Biomedical Imaging and Bioengineering, known for completing the first population-wide serosurvey during the COVID-19 pandemic in the United States in 2020."
2117,Kaitlyn Sadtler and Heather J. Faust,
2118,Kakenya Ntaiya,"Kakenya Ntaiya (born 1978) is a Kenyan educator, feminist and social activist."
2119,Kaki King,"Kaki King (born Katherine Elizabeth King, August 24, 1979) is an American guitarist and composer."
2120,Kala Fleming,
2121,Kalika Bali,"The Kalika Purana (Sanskrit: Kālikā Purāṇa), also called the Kali Purana, Sati Purana or Kalika Tantra, is one of the eighteen minor Puranas (Upapurana) in the Shaktism tradition of Hinduism."
2122,Kamal Meattle,"Kamal Meattle is an Indian environmental activist and CEO of Paharpur Business Centre & Software Technology Incubator Park based in New Delhi, India."
2123,Kamau Gachigi,
2124,Kanawat Senanan,
2125,Kandice Sumner,"The Metropolitan Council for Educational Opportunity, Inc."
2126,Kang Lee,Lee Kang-in (Korean: 이강인; Hanja: 李康仁; also romanized as Kangin Lee; Korean pronunciation: [i.ɡaŋ.in] or [i] [kaŋ.in]; born 19 February 2001)  is a South Korean professional footballer who plays as an attacking midfielder for La Liga club Valencia and the South Korea national team.
2127,Kara Logan Berlin,This is a list of notable pornographic actors listed by the decade in which they made their debut.This listing is subordered alphabetically by first name.
2128,Karalee Close,"Karalee is a rural residential suburb of Ipswich in the City of Ipswich, Queensland, Australia."
2129,Kare Anderson,"Alayna Ertl was a missing 5-year-old girl from Watkins, Minnesota who was later found murdered."
2130,Kareem Yusuf,Ms.
2131,Karen Armstrong,Karen Armstrong  (born 14 November 1944) is a British author and commentator of Irish Catholic descent known for her books on comparative religion.
2132,Karen Bass,
2133,Karen D. Davis,"Karen D. Davis is a neuroscience professor at the University of Toronto, and is the head of Division of Brain, Imaging & Behaviour, Krembil Research Institute at the University Health Network."
2134,Karen DeSalvo,"Karen Bollinger DeSalvo (born August 4, 1966) is an American business executive, physician and public health expert."
2135,Karen Eber,"A genetic chimerism or chimera (/kaɪˈmɪərə/ ky-MEER-ə or /kɪˈmɪərə/ kə-MEER-ə, also spelled chimaera or chimæra) is a single organism composed of cells with more than one distinct genotype."
2136,Karen J. Meech,"Karen J. Meech (born 1959) is an American astronomer at the Institute for Astronomy in the University of Hawaii.She specializes in planetary astronomy, in particular the study of distant comets and their relation to the early solar system."
2137,Karen L. Cox,
2138,Karen Lloyd,"Barbie and the Secret Door is a 2014 American-Canadian direct-to-video computer-animated musical fantasy film, and the 28th entry in the Barbie film series."
2139,Karen Scrivener,Karen Louise Scrivener is a material chemist known for her pioneering works in cementitious materials.
2140,Karen Thompson Walker,Karen Thompson Walker is an American novelist.
2141,Karen Tse,"Karen Irene Tse (born October 20, 1964) is an American human rights defender and social entrepreneur."
2142,Karim Abouelnaga,"Practice is the act of rehearsing a behaviour over and over, or engaging in an activity again and again, for the purpose of improving or mastering it, as in the phrase 'practice makes perfect'."
2143,Karima Bennoune,Karima Bennoune is an Algerian-American who is the Homer G. Angelo and Ann Berryhill Endowed Chair in International Law and Martin Luther King Jr.
2144,Karin Nilsdotter,"Karin Nilsdotter (ca 1551-1613), was the royal mistress of Charles IX of Sweden, between 1568 and 1578."
2145,Karin Öberg,"Karin Ingegerd Öberg (born August 27, 1982) is a Swedish astrochemist."
2146,Karina Galperin,Pedro Berruguete (c.
2147,Karissa Sanbonmatsu,Karissa Y. Sanbonmatsu is an American structural biologist at Los Alamos National Laboratory.
2148,Karl Skjonnemand,
2149,Karla Souza,
2150,Karoliina Korppoo,Cities: Skylines is a 2015 city-building game developed by Colossal Order and published by Paradox Interactive.
2151,Kartick Satyanarayan,"Wildlife SOS (WSOS) is a conservation non-profit in India, established in 1995 with the primary objective of rescuing and rehabilitating wildlife in distress, and preserving India’s natural heritage."
2152,Kary Mullis,"Kary Banks Mullis (December 28, 1944 – August 7, 2019) was an American biochemist."
2153,Kasha Patel,"Kasha Govind Patel (born July 18, 1991) is an American science writer, stand-up comedian, voice artist, and podcaster."
2154,Kashfia Rahman,"Anannya Top Ten Awards (Bengali: অনন্যা শীর্ষ দশ পুরস্কার) is the prize for women in Bangladesh recognition of contribution to the fields of agriculture, industrial, trade, economics, acting, music, sports, education, liberation war, social welfare and development-work-law, human rights, entrepreneur, politics and journalism."
2155,Kashmir Hill and Surya Mattu,"Srinagar (English :  (listen), Kashmiri pronunciation: [siriːnagar]), is the largest city and the summer capital of the Indian-administered union territory of Jammu and Kashmir."
2156,Kasiva Mutua,Kasiva Mutua is a Kenyan percussionist.
2157,Kate Adams,Kate Adams is a Scottish international indoor and lawn bowler.Adams won the Women's singles at the 1993 World Indoor Bowls Championship defeating Jayne Roylance in the final.
2158,Kate Bowler,"Kate Bowler (born 1979 or 1980) is a Canadian academic and writer from Winnipeg, Manitoba."
2159,Kate Darling,"Katherine 'Kate' Irene Maynard Darling (born 1982) is an American-Swiss academic with a background in the legal and ethics implications of technology, and as of 2019 is a researcher at the Massachusetts Institute of Technology's Media Lab."
2160,Kate E. Brandt,Tom and Jerry: Willy Wonka and the Chocolate Factory is a 2017 American animated direct-to-video musical comedy film starring the cat-and-mouse duo Tom and Jerry.
2161,Kate Gardoqui,"Anabell Gardoqui de la Reguera (Spanish pronunciation: [ˈana ðe la reˈɣeɾa]; born April 8, 1977) is a Mexican actress."
2162,Kate Hartman,"Lisa Hartman Black (born June 1, 1956) is an American actress and singer."
2163,Kate Lister,"Kate Lister is an Australian actor and producer known for her lead role in the remake of Unhinged (2017), a horror movie directed by Dan Allen."
2164,Kate Marvel,"Hawkeye (Katherine ""Kate"" Bishop) is a fictional character appearing in American comic books published by Marvel Comics."
2165,Kate Messner,"Reinhold Andreas Messner (German pronunciation: [ˈʁaɪ̯nhɔlt ˈmɛsnɐ]) (born 17 September 1944) is an Italian mountaineer, explorer, and author."
2166,Kate Orff,"Kate Orff, RLA, FASLA, is the founding principal of SCAPE, a design-driven landscape architecture and urban design studio based in New York."
2167,Kate Raworth,Kate Raworth (born 1970) is an English economist working for the University of Oxford and the University of Cambridge.
2168,Kate Slabosky,
2169,Kate Stafford,"Taylor Cole (born April 29, 1984) is an American actress and former fashion model."
2170,Kate Stone,"Sarah Katherine Holmes Stone, better known as Kate Stone (January 8, 1841 – December 28, 1907), was an American diarist and community leader."
2171,Kate Wagner,"McMansion Hell is a blog that humorously critiques McMansions, large suburban homes typically built from the 1980s to 2008 and known for their stylistic attempt to create the appearance of affluence using mass-produced architecture."
2172,Katerina Kaouri,"The seventh season of the talent show The Voice of Greece premiered on September 13, 2020 on Skai TV and Sigma TV, for the fifth time."
2173,Katharine Hayhoe,"Katharine Anne Scott Hayhoe (born April 15, 1972) is an atmospheric scientist and professor of political science at Texas Tech University, where she is director of the Climate Science Center."
2174,Katharine Wilkinson,
2175,Katherine Eban,Katherine Eban (born 1966/1967) is an American investigative journalist and author.
2176,Katherine Fulton,"Catherine Henrietta Elliot Fulton (née Valpy, 19 December 1829 – 6 May 1919) was a New Zealand diarist, community leader, philanthropist, social reformer and suffragist."
2177,Katherine Hampsten,"The American frontier, also known as the Old West or the Wild West, includes the geography, history, folklore, and culture in the forward wave of American expansion that began with European colonial settlements in the early 17th century and ended with the admission of the last few western territories as states in 1912."
2178,Katherine Kuchenbecker,Vivian Chu (born c.
2179,Katherine Lucas,"Henry Lee Lucas (August 23, 1936 – March 12, 2001) was an American serial killer whose crimes spanned from 1960 to 1983."
2180,Katherine M. Gehl,Katherine M. Gehl (born 1966) is an American businesswoman and published author.
2181,Kathryn Bouskill,
2182,Kathryn Schulz,Kathryn Schulz is an American journalist and author.
2183,Kathy Hull,"Tom Hull (born 1950) is an American music critic, web designer, and former software developer."
2184,Kathy Kleiman,
2185,Kathy Mendias,The Visual Effects Society Award for Outstanding Supporting Visual Effects in a Motion Picture is one of the annual awards given by the Visual Effects Society starting from 2002.
2186,Kathy Vinokurov,"The following is a list of medalists at the 1976 Summer Olympics, held in the city of Montreal, Quebec, Canada from July 17 to August 1."
2187,Katie Bouman,Katherine Louise Bouman (; born 1989/1990) is an American engineer and computer scientist working in the field of computer imagery.
2188,Katie Francfort,This article contains information about the literary events and publications of 1998.
2189,Katie Hinde,"Katherine (Katie) Hinde is an Associate Professor of Evolutionary Biology and Senior Sustainability Scientist at Arizona State University, where she researches lactation."
2190,Katie Hood,
2191,Katlego Kolanyane-Kesupile,"Katlego Kai Kolanyane-Kesupile (born January 1988, also known as Kat Kai Kol-Kes) is a performance artist, musician, writer and LGBT activist from Botswana."
2192,Katrina Spade,"Katrina Mogielnicki Spade (born September 9, 1977) is an American designer, entrepreneur, and death care advocate."
2193,Kaustav Dey,"Bhoomi Trivedi is an Indian singer, known for her Bollywood songs ""Ram Chahe Leela"" from Goliyon Ki Raasleela: Ram-Leela (2013),and Husn Parcham from Zero (2018) which resulted in several awards and Nominations."
2194,Kavita Ramdas,Kavita Nandini Ramdas (born 1963) is currently the director of the Open Society Foundations’ Women's Rights Program and is a globally recognized advocate for gender equity and justice.
2195,Kay Almere Read,"In the Aztec religion, Huitzilopochtli (Classical Nahuatl: Huītzilōpōchtli [wiːt͡siloːˈpoːt͡ʃt͡ɬi], modern Nahuatl pronunciation ) is a deity of war, sun, human sacrifice, and the patron of the city of Tenochtitlan."
2196,Kay M. Tye,Kay M. Tye (born c.
2197,Kay Read,"Read It and Weep is a 2006 Disney Channel Original Movie which premiered on July 21, 2006."
2198,Kayla Briët,"The imagineNATIVE Film + Media Arts Festival is the world's largest Indigenous film and media arts festival, held annually in Toronto in the month of October."
2199,Kayla Wolf,Bethany Ashton Wolf is an American film director and screenwriter.
2200,Kedra Newsom Reeves,
2201,Kees Moeliker,"Cornelis W. ""Kees"" Moeliker (born 9 October 1960) is a Dutch biologist and director of the Natural History Museum Rotterdam."
2202,Keiichiro Hirano,"Keiichirō Hirano (平野 啓一郎, Hirano Keiichirō, born June 22, 1975) is a Japanese novelist."
2203,Keith Barry,"Keith Patrick Barry (born 2 October 1976) is an Irish mentalist, hypnotist, magician and activist for the elderly."
2204,Keith Bellows,
2205,Keith Chen,M. Keith Chen is a Chinese American behavioral economist.
2206,Keith Eggener,The Journal of the Society of Architectural Historians (ISSN 0037-9808) is a quarterly peer-reviewed academic journal published by the University of California Press on behalf of the Society of Architectural Historians.
2207,Keith Kirkland,"Keith Lindsay Hugh Kirkland (22 October 1900 – 24 October 1971) was an Australian freestyle swimmer who competed in the 1920 Summer Olympics in Antwerp, Belgium."
2208,Keith Lowe,Keith Stephen Lowe (born 13 September 1985) is an English professional footballer who plays as a centre back for National League North side Kidderminster Harriers.
2209,Keith Nolan,
2210,Keith Payne,"Keith Payne,  (born 30 August 1933) is an Australian recipient of the Victoria Cross, the highest decoration for gallantry ""in the presence of the enemy"" awarded to members of the British and Commonwealth armed forces."
2211,Keith Weed,"Keith Charles Frederick Weed  (born 1961) was Unilever's CMCO, responsible for the marketing and communications functions, a role which also includes leadership of Unilever's sustainability agenda and the Unilever corporate brand."
2212,Keller Rinaudo,"Keller C. Rinaudo is an American robotics and autonomous airplane entrepreneur and the CEO and a co-founder of Zipline.Zipline began drone deliveries in Rwanda in late 2016, and primarily delivers blood to urgent medical situations."
2213,Kelli Anderson,"Jonathan James Scheyer (Hebrew: ג'ון שייר‎; born August 24, 1987) is an Israeli American basketball coach and former professional player who is an associate head coach of the Duke Blue Devils men's team."
2214,Kelli Jean Drinkwater,"This list contains former characters and cast members of the ITV soap opera Emmerdale, in order of last on-screen appearance, beginning with the most recent."
2215,Kelli Sandman-Hurley,"This list of stages lists names used by those in the entertainment industry, alphabetically by their stage name's surname, followed by their birth name."
2216,Kelli Swazey,"Burial, also known as  interment or inhumation, is a method of final disposition whereby a dead body is placed into the ground, sometimes with objects."
2217,Kelly Lepley,"Breakaway is the second studio album by American singer Kelly Clarkson, released on November 30, 2004, by RCA Records."
2218,Kelly McGonigal,"Kelly McGonigal (born October 21, 1977) is a health psychologist and lecturer at Stanford University who is known for her work in the field of 'science help' which focuses on translating insights from psychology and neuroscience into practical strategies that support health and well-being."
2219,Kelly Richmond Pope,"Kelly Richmond Pope is a forensic accountant, professor at DePaul University and filmmaker who analyzes corporate crime."
2220,Kelly Wanser,"Marine cloud brightening also known as marine cloud seeding and marine cloud engineering is a proposed solar radiation management climate engineering technique that would make clouds brighter, reflecting a small fraction of incoming sunlight back into space in order to offset anthropogenic global warming."
2221,Kelsey Johnson,"Kelsey Asbille Chow (born September 9, 1991) is an American actress."
2222,Kelsey Leonard,"Kelsey Leonard is the first Native American woman to earn a science degree from the University of Oxford, which she earned in 2012."
2223,Kemi DaSilva-Ibru,
2224,Ken Goldberg,"Kenneth Yigael Goldberg (born 1961) is an American artist, writer, inventor, and researcher in the field of robotics and automation."
2225,Ken Jennings,"Kenneth Wayne Jennings III (born May 23, 1974) is an American game show contestant and host, author, and television presenter."
2226,Ken Kamler,"Kenneth ""Ken"" Kamler, M.D., is an orthopedic microsurgeon trained at Columbia-Presbyterian Medical Center, who practices surgery of the hand in New York and extreme medicine in some of the most remote regions on Earth."
2227,Kendall Spencer,Cavan Spencer Kendall McCarthy (22 May 1942 – 29 October 1999) was a British actor.
2228,Kenichi Ebina,"Kenichi Ebina (蛯名 健一, Ebina Ken'ichi, born May 25, 1974) is a performance artist of Japanese origin who is best known for winning the eighth season of America's Got Talent on September 18, 2013."
2229,Kenneth Cukier,Kenneth Neil Cukier (born 1968) is an American journalist and author of books on technology and society.
2230,Kenneth Lacovara,"Kenneth John Lacovara (born March 11, 1961) is an American paleontologist and geologist at Rowan University and fellow of the Explorers Club, known for the discovery of the titanosaurian dinosaur Dreadnoughtus and his involvement in the discovery and naming of the giant sauropod dinosaur Paralititan, as well as his work applying 3D printing technology to paleontology."
2231,Kenneth Shinozuka,"The Google Science Fair was a worldwide (excluding Cuba, Iran, North Korea, Sudan, Myanmar/Burma, Syria, Zimbabwe and any other U.S. sanctioned country) online science competition sponsored by Google, Lego, Virgin Galactic, National Geographic and Scientific American."
2232,Kenny Coogan,"Keith Coogan (born January 13, 1970) is an American actor."
2233,Kent Larson,Kent Larson is Director of the City Science research group at the MIT Media Lab.
2234,Keolu Fox,Sarah Ballard (born 1984) is an American Professor of Astronomy currently at the University of Florida.
2235,Keren Elazari,Keren Elazari (born 1980) is an Israeli-born cyber security analyst and senior researcher at the Tel Aviv University Interdisciplinary Cyber Research Center with an emphasis on hackers and technology and their social implications.
2236,Kesha,"Kesha Rose Sebert (; born March 1, 1987), usually known professionally by the mononym Kesha (formerly stylized as Ke$ha), is an American singer, songwriter, rapper, and actress."
2237,Kevin Allocca,"Kizuna AI (Japanese: キズナアイ, Hepburn: Kizuna Ai) is a Japanese virtual YouTuber (VTuber) currently part of Kizuna AI Inc., a subsidiary of Activ8."
2238,Kevin B. Jones,"Kevin Andrew Jones (born August 25, 1989) is an American professional basketball player who plays for Alvark Tokyo."
2239,Kevin Bales,"Kevin Brian Bales  (born 1952) is Professor of Contemporary Slavery at the University of Nottingham, co-author of the Global Slavery Index, and was a co-founder and previously president of Free the Slaves."
2240,Kevin Bethune,"Bethune–Cookman University (BCU) is a private historically black university in Daytona Beach, Florida."
2241,Kevin Breel,UEFA Euro 2020 is an upcoming international football tournament held across eleven cities in Europe from 11 June to 11 July 2021.
2242,Kevin Briggs,"Sergeant Kevin Briggs (also known as the Guardian of the Golden Gate Bridge) is a California Highway Patrol officer noted for his work in suicide intervention, having dissuaded more than two hundred people from jumping off of the Golden Gate Bridge into San Francisco Bay."
2243,Kevin Etter,"On February 14, 2017, the bodies of Abigail Williams and Liberty German were discovered near the Monon High Bridge Trail, which is part of the Delphi Historic Trails in Delphi, Indiana, United States, after the young girls had disappeared from the same trail the previous day."
2244,Kevin Kelly,"Kevin Kelly (born 1952) is the founding executive editor of Wired magazine, and a former editor/publisher of the Whole Earth Review."
2245,Kevin Njabo,"The white-crested turaco (Tauraco leucolophus) is a bird in the family Musophagidae, a group of otidimorphae birds."
2246,Kevin Roose,Kevin Roose is the author of three books and a technology columnist for The New York Times.
2247,Kevin Rudd,"Kevin Michael Rudd  (born 21 September 1957) is an Australian Labor Party politician who was the 26th Prime Minister of Australia, serving twice, from December 2007 to June 2010 and again from June 2013 to September 2013."
2248,Kevin Slavin,Limbic resonance is the idea that the capacity for sharing deep emotional states arises from the limbic system of the brain.
2249,Kevin Stone,"Kevin Robert Stone, M.D. (born June 4, 1955) is a physician, orthopedic surgeon, clinician, researcher, and company founder of The Stone Clinic and the Stone Research Foundation in San Francisco."
2250,Kevin Surace,"Kevin Surace (born July 12, 1962) is an American technology innovator, speaker, Broadway & Streaming producer  and entrepreneur."
2251,Kevin Toolis,
2252,Khadija Gbla,Khadija Gbla  is a feminist and human rights activist from Sierra Leone.
2253,Khalida Brohi,Khalida Brohi is a Pakistani activist for women's rights and a social entrepreneur.
2254,Khulan Batkhuyag, 
